,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF,HOOD,BLND,WPLCF,TOST,RELY,BKKT,NRDS,NU,AVDX,DAVE,EXFY
2022-03-15,52063627240.0,8058666100.0,1171972210.0,7228723645.050718,18170695110.0,1004912480.0,3973638490.0,1302289510.0,1362986200.0,34234431279.999996,2410709590.0,7620584630.0,660760530.0,2527010730.0,3971687630.0,401586080.0,17867963760.0,2479238130.0,302391125.69900316,1427601990.0,1061833203.5967945,1412627090.0,188706919.5522509,1159092870.0,3002192837.263805,1088142758.3294473,11425077200.0,4733250520.0,48016011410.0,0.0,562345792.0797925,4247484440.0,1902247580.0,4378129760.0,1569316340.0,4189568150.0,2252105580.0,1506187425.186858,117036393600.0,3080966690.0,1808743080.0,386079990.0,178241485.5072464,69705466490.0,7465671160.0,59766347710.0,2551773360.0,8193791649.999999,6394249658.409839,9307346839.774557,9582606450.0,1409325990.0,5905150571.359105,8846009880.0,1373571240.0,,,,,,
2022-03-16,55153144420.0,9483795550.0,1172874420.0,7877336060.501134,20538624020.0,1058659830.0,4127655480.0000005,1321072530.0,1481300980.0,37866819010.0,2592027920.0,9641529450.0,667238580.0,2579849430.0,4112026070.0,431900120.0,18422516320.0,2707042750.0,301093301.7262339,1506180540.0,1136047348.942346,1467903800.0,210907724.41800702,1341068600.0,3278281536.546067,1163864066.8385682,15635612110.0,5563740580.0,54249309910.0,0.0,591802037.327034,4530576920.0,1983363490.0,4793618000.0,1712172450.0,4852665270.0,2409426230.0,1617358557.3376987,125727330200.0,3330882500.0,1977913760.0,408939980.0,181669202.89855072,78389838340.0,7802536810.0,67279897679.99999,2916312420.0,8989803210.0,6540881490.595932,9686076113.794954,11092908560.0,1501288540.0,6178402820.325796,9528038260.0,1462188740.0,,,,,,
2022-03-17,55797051810.0,10453793830.0,1281139750.0,8125800000.0,21724660160.0,1055402419.9999999,4282264849.9999995,1421248640.0,1514429110.0,38896178430.0,2653840980.0,10095873250.0,680194670.0,2706662310.0,4123538209.9999995,439703740.0,18445103430.0,2785816310.0,289845562.84950155,1526512060.0,1170300000.0,1504140760.0,222008144.89549828,1535998530.0,3797850029.2954445,1186300000.0,15512497060.0,5905707070.0,57935945730.0,0.0,677492810.7065629,4870726800.0,2035850250.0,5116086480.0,1783600500.0,4879457070.0,2381592580.0,1606600000.0,130666951000.0,3460679320.0,2165171870.0,459739970.0,203606615.67364466,82798148930.0,8112089030.0,74184710960.0,2968830750.0,9798423190.0,6531600000.0,9974869672.571121,11622382280.0,1611643590.0,6396037369.3168,9640013070.0,1539318780.0,,,,,,
2022-03-18,56991995330.0,11580243450.0,1306401660.0,7751528804.526709,23288777680.0,1136837790.0,4404293700.0,1409015470.0,1656406840.0,40810040730.0,2781587990.0,10272890320.0,696389780.0,2857252590.0,4183291690.0,457111800.0,18631252390.0,3018943470.0,268215305.13007537,1566076080.0,1139878259.1269267,1486329370.0,224026398.78968135,1666157440.0,3977198981.9833016,1258209079.4875393,16398925459.999998,6301953960.0,59773213360.0,0.0,720338229.3186347,4991425140.0,2134461750.0,5140891740.0,1884440110.0,5977920980.0,2524391320.0,1567733936.593446,138367633500.0,3584783300.0,2180067400.0,548639970.0,200864439.0767579,98242350180.0,8986118820.0,81535931150.0,4216913609.9999995,10546522760.0,6666111494.804449,9901921819.645733,11665781770.0,1623138910.0,6749088961.828349,10001386320.0,1593473920.0,,,,,,
2022-03-21,56187111090.0,11935814670.0,1262193320.0,8196357227.68948,22988384250.0,1117293300.0,4474786100.0,1383966300.0,1623278710.0,38806191790.0,2707412310.0,9868701350.0,751453160.0,2865178400.0,4115863450.0,462514310.0,18789362180.0,2792203360.0,302391125.69900316,1505081540.0,1106997185.6500587,1378232690.0,224026398.78968135,1605087620.0,4015242698.1104436,1220520685.4814556,15660235120.0,5987127670.0,58175435880.0,0.0,797995498.6792655,4683095740.0,2075612950.0000002,5060274620.0,1928557430.0,5710002960.0,2365860510.0,1544384808.5975726,133567813300.00002,3620648210.0,2033240020.0,520699980.0,198807809.98389694,86081710550.0,8712984510.0,78161790650.0,4118055560.0,10578464090.0,6528513261.848815,10141754468.599033,11327265780.0,1448410070.0,6770852407.002188,10204976880.0,1575422210.0,,,,,,
2022-03-22,57543031460.0,12373878410.0,1284748590.0,8364106903.797243,23761120460.0,1185699010.0,4552386970.0,1390228600.0,1680069800.0,40840767880.0,3065928090.0,9582523760.0,793560440.0,2937831610.0,4165749380.0,453510140.0,18970059080.0,2916750740.0,302823729.637734,1544645570.0,1123437722.3884926,1416926390.0,226044652.68386444,1699468250.0,4332636004.101362,1272704398.7867093,16423548470.000002,6166252970.0,61262590030.0,0.0,787284159.9874012,4920103390.0,2161500390.0,5761023440.0,2033598690.0,6232443110.0,2471144330.0,1574405138.7428393,137319129099.99998,3655374560.0,2174747570.0,543559980.0,192637909.28609768,91568167950.0,8849551660.0,82202642760.0,4423897650.0,10694461550.0,6608469552.841949,9874945081.85722,11648421980.0,1563363260.0,6761179771.456358,10301682400.0,1585268600.0,,,,,,
2022-03-23,56088048420.0,12547397170.0,1273019850.0,8249769952.177442,24219997320.0,1166154520.0,4390669120.0,1402753180.0,1769989030.0,40188913400.0,2962906310.0,9072124560.0,800038490.0,2940473540.0,4043501440.0,450808880.0,18711475580.0,2877363960.0,307149781.1816192,1497938040.0,1150838616.9525492,1337082250.0,242190707.89681342,1700085120.0,4171765424.05156,1255309874.6706448,16620532560.0,6079404340.0,61130492300.0,0.0,701593322.7632576,4935465000.0,2107423110.0000002,5692808950.0,2027296210.0,6764930190.0,2467513850.0,1537713606.4481795,133567813300.00002,3591045430.0,2084310410.0,533399970.00000006,203606615.67364466,88618378410.0,8530894969.999999,78498045200.0,4396093820.0,9974941070.0,6515497154.747606,10285651663.982822,11353305470.0,1466802580.0,6548381546.316557,10133720180.0,1534395590.0,,,,,,
2022-03-24,56428576360.0,12743672480.0,1263095530.0,8426700000.0,24491387250.0,1177555470.0,4363419960.0,1383966300.0,1708465340.0,41742829120.0,3094774190.0,9154732520.0,816233600.0,2937831610.0,4044049640.0,456811670.0,18980184340.0,2991266270.0,289845562.84950155,1520467550.0,1189200000.0,1326026910.0,244208961.7909965,1674793580.0,4093504064.7429323,1287200000.0,16128072340.0,6567927900.0,62340043630.0,0.0,674814976.0335969,5024342870.0,2093108540.0000002,5599789200.0,2107127570.0,7250531610.0,2578848470.0,1517700000.0,135198820199.99998,3630326050.0,2069414879.9999998,543559980.0,191614982.55501878,88795970360.0,8621939740.0,78300930460.0,4433165590.0,9704280320.0,6772100000.0,10268663801.663982,11249146710.0,1448410070.0,6354928616.581571,10179528060.0,1593473920.0,,,,,,
2022-03-25,57128206500.0,11992706070.0,1245051300.0,8384687295.746431,22743926150.0,1156382280.0,4285666739.9999995,1283769650.0,1665872030.0,40979040040.0,3135982900.0,9001317740.0,842145780.0,2895560650.0,4100513930.0,437602760.0,19162438970.0,2972105140.0,289845562.84950155,1524314050.0,1171529660.829503,1294089250.0,233108541.31350526,1595834620.0,3932633484.69313,567160497.7099631,14823052740.0,5981699630.0,58805168940.0,0.0,674814976.0335969,4910228070.0,1991316030.0,5364139150.0,2004187140.0,6604179370.0,2520760840.0,1443331344.2751024,132530958900.0,3541517690.0,1947058730.0,518159980.0,185433849.97316155,85587979770.0,8203133800.0,75558716630.0,3799856220.0,8722504710.0,6919491802.011459,10434545289.855072,10754392570.0,1404727870.0,6091349015.3172865,9894501270.0,1572140080.0,,,,,,
2022-03-28,54738319470.0,12302764170.0,1273019850.0,8581421216.6356535,24007650240.0,1171040640.0,4278551639.9999995,1252458190.0,1708465340.0,44205390470.0,3243125550.0,9190135940.0,761170220.0,2906128390.0,4165201190.0,444806100.0,18928000320.0,3086007450.0,303688937.5151957,1522665550.0,1165950953.2258153,1344452480.0,254300231.26191196,1666157440.0,3964155419.6572433,572640309.60382,14773806720.0,6046836100.0,61771317540.0,0.0,640003125.285038,4635913660.0,2008811620.0,5550178660.0,1907549180.0,6617575270.0,2574007830.0,1475838775.5635295,135338620700.0,3508499200.0,1943866830.0,528319980.0,183373476.91894794,88367734470.0,8421641240.000001,80074963100.0,3793677590.0,9091511130.0,6973477773.77747,9895930092.592592,11118948250.0,1400129740.0,5897896085.5823,9787616230.0,1637782670.0,,,,,,
2022-03-29,59691453230.0,13696603350.0,1346098950.0,9025377742.276997,24970980900.0,1208500910.0,4564341810.0,1239933610.0,1779454210.0,44890166880.0,3420323010.0,9721187130.0,777365330.0,3011805790.0,4098869340.0,464915420.0,19430368860.0,3366408130.0,307149781.1816192,1603442110.0,1205002039.458511,1443336370.0,252281977.36772886,1850600640.0,4292418360.919877,591819684.5365524,14650691660.0,6367090440.0,63351448370.0,0.0,693559818.7443595,5069330440.0,2156728860.0,6108297190.0,2134438290.0,6848654570.0,2686552600.0,1547355279.4057286,141175295400.0,3668468090.0,2141764610.0000002,571499980.0,191614982.55501878,93705568830.0,9231939700.0,85130376350.0,4016108200.0,10101025260.0,6887845075.444984,10218699496.779388,13809716370.0,1423120380.0,6229184220.7634325,11014249360.0,1767129780.0,,,,,,
2022-03-30,58583189550.0,13298363580.0,1331663570.0,8735500000.0,24047012140.0,1213387040.0,4395357990.0,1221146740.0,1727395710.0,43171641450.0,3280213390.0,9564822060.0,757931200.0,2968213860.0,4055013580.0,491027520.0,19488783800.0,3285083590.0,316667092.1468514,1521017050.0,1126900000.0,1490628670.0,246227215.6851796,1728461000.0,4226113593.086275,583600000.0,14305969510.0,6117400620.0,60999402950.0,0.0,682848480.052495,4718207980.0,2104242100.0,5668003680.0,2153345720.0,6707997610.0,2640566570.0,1524600000.0,138041432100.0,3497113520.0,2008768790.0,535939980.0,189268484.97047773,88871541390.0,8895074050.0,81222866560.0,3734980630.0,9594166790.0,7001401651.12149,10758313982.823402,12637930250.0,1384036290.0,6166312022.854364,11141493460.0,1682427130.0,369852800.0,825624880.0,37378603380.0,1633745540.0,2890445690.0,
2022-03-31,56024476740.0,13164668800.0,1291064070.0,8886900000.0,23491802210.0,1218273160.0,4341401760.0,1208622160.0,1680069800.0,41670400840.0,3239004680.0,9222589070.0,702867820.0,2930759560.0,4080778840.0,485625020.0,19398435350.0,3272242870.0,319695331.87454414,1510027040.0,1160800000.0,1474659840.0,240172454.00263032,1626677960.0,4144591343.196133,1256100000.0,13715017240.0,5992555710.0,59972368330.0,0.0,672137141.3606308,4506347380.0,2107423110.0000002,5364139150.0,2094522620.0000002,6714695560.0,2551014810.0,1538300000.0,134732818200.00002,3509637770.0,1919395600.0,500379980.0,184468196.4573269,85138332090.0,8603730780.0,78613995050.0,3614497380.0,9169683330.0,6928800000.0,10267664519.592056,11726541050.0,1324717810.0,5984949902.747386,11060057240.0,1639245390.0,352133250.0,804162660.0,35801838470.0,1584536340.0,2659805230.0,
2022-04-01,55559928840.0,13258539610.0,1316325980.0,8728154975.049658,24083266520.0,1254104720.0,4382313630.0,1264982780.0,1670604620.0,41033909940.0,3045323740.0,9591374620.0,693150760.0,2522679120.0,4074200480.0,497030300.0,19440494110.0,3376038670.0,320127935.813275,1528710060.0,1148643972.4130974,1490014480.0,234117668.2605968,1729694730.0,4247852863.6297054,1228205031.694729,14010493370.0,6025123950.0,61719385990.0,0.0,680170645.379529,5122148880.0,2261614310.0,5258716770.0,2130236640.0,7059640020.0,2525601480.0,1493557117.0829427,135921123200.0,3552903380.0,1863005380.0,510539990.0,183096685.4535695,87284549580.0,8494477059.999999,77466091580.0,3750427200.0,9164639960.0,6955054580.87359,10096786594.202898,11717861150.0,1115551840.0,6033313129.102844,11584302930.0,1718965530.0,357849700.0,798126410.0,37378603380.0,1738069050.0,2540765010.0,
2022-04-04,57467672220.0,13568597710.0,1332565780.0,9223935876.7862,25186435500.0,1288307580.0,4486075620.0,1246195900.0,1727395710.0,42063269370.0,3197795970.0,9969011020.0,719062930.0,2583626200.0,4022121760.0,502132660.0,19770733280.0,3452012920.0,323156175.54096764,1551789070.0,1165453380.7599075,1527479810.0,243199834.84390494,1764856140.0,4447854123.333821,1252525900.446892,14921544790.0,6269385730.0,63780513890.0,0.0,685526314.7254611,5148540370.0,2294415090.0,5618393150.0,2044102810.0,7206994930.0,2583689100.0,1593127654.8603415,141967498700.0,3635449600.0,1932163200.0,538479980.0,193383017.98174986,91603434440.0,8895074050.0,84137045440.0,3880178380.0,9569790510.0,6839838157.411467,10361959702.093397,12004297760.0,1157385030.0,6132457755.89594,12240882490.0,1873423300.0,354419830.0,843733630.0,37424978810.0,1797120090.0,2704445340.0,
2022-04-05,57170361560.0,12470593780.0,1259486680.0,8715266251.474495,23334354610.0,1236188940.0,4382313630.0,1183572990.0,1637476480.0,38885204450.0,3016477640.0,9561871770.0,689911730.0,2453782420.0,3973332220.0,485625020.0,19977911620.0,3391019510.0,308447592.9978118,1523215050.0,1120628291.835081,1478959140.0,229072033.5251391,1687130920.0,4315244594.9904785,1170442895.9264357,14552199620.0,6204249250.0,61417880490.0,0.0,637325290.6120719,5007785740.0,2250134030.0,5178099650.0,1966372280.0,6805117890.0,2505028780.0,1566575395.3934968,137062828000.00002,3515330610.0,1824702580.0,495299970.0,187211218.46484163,88533990760.0,8303283040.0,78765116160.0,3595961500.0,8780359660.0,6966027372.436874,10827125073.805689,11309905990.0,1157385030.0,6045403938.730853,10785209980.0,1836884900.0,328695810.0,817576550.0,36404719170.0,1728227210.0,2711885350.0,
2022-04-06,53057564150.0,11625756570.0,1247757940.0,8331186091.111369,22048877890.0,1216644450.0,4261356790.0,1164786120.0,1590150570.0,36617979970.0,2814554950.0,8756444130.0,638087380.0,2359711920.0,4431686500.0,474219730.0,19755155960.0,3298994360.0,313638864.57573545,1487497530.0,1092612611.2570646,1461147760.0,223017271.8425898,1647651440.0,3993503434.8908744,1106600615.4520082,14650691660.0,5981699630.0,58686180150.0,0.0,605191210.6918644,4865931470.0,2155011750.0,4700598240.0,1863431860.0,6751534290.0,2463883380.0,1493557117.0829427,131051402700.0,3402612320.0,1721497830.0,477519970.0,183782440.9554482,82697387540.0,7966417390.0,74621718720.0,3543443160.0,8236878080.0,6845324553.193108,10514341458.668814,10858551340.0,1078366780.0,5819305835.156819,10484913900.0,1765468940.0,302400140.0,755201960.0,34827954260.0,1610125120.0,2458924850.0,
